,目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
1956,1957.0,2.0,85.04,85.63,77.81,85.61,80.78,71.95,77.77,73.66,2.0,31.0,1.0,7.0,3.0,5.0,1,1989.0,5.0,7.0,5.0,1.0,32.0,27.0,27.0,12.0,9.0,0.0
1957,1958.0,2.0,83.81,87.45,77.81,85.14,83.91,89.42,82.33,85.12,1.0,18.0,2.0,12.0,4.0,6.0,1,1987.0,6.0,10.0,3.0,5.0,15.0,8.0,10.0,0.0,0.0,0.0
1958,1959.0,2.0,55.58,55.58,55.58,55.55,53.77,55.56,55.56,55.55,2.0,28.0,1.0,10.0,3.0,5.0,1,1992.0,6.0,6.0,4.0,4.0,30.0,20.0,10.0,50.0,0.0,0.0
1959,1960.0,2.0,71.36,75.37,70.44,77.77,68.43,75.03,75.48,70.33,2.0,32.0,3.0,3.0,5.0,6.0,1,1987.0,5.0,6.0,3.0,5.0,25.0,11.0,20.0,0.0,0.0,0.0
1960,1961.0,2.0,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2.0,36.0,2.0,10.0,5.0,6.0,1,1984.0,5.0,14.0,7.0,9.0,29.0,9.0,9.0,30.0,20.0,0.0
1961,1962.0,2.0,90.77,91.92,92.67,96.72,94.96,97.25,95.6,95.88,1.0,30.0,2.0,6.0,5.0,6.0,1,1990.0,6.0,8.0,4.0,5.0,39.0,20.0,17.0,0.0,30.0,0.0
1962,1963.0,2.0,82.43,88.51,74.05,93.03,76.46,94.7,91.16,95.88,1.0,15.0,2.0,8.0,3.0,5.0,1,1987.0,6.0,8.0,4.0,4.0,21.0,12.0,7.0,20.0,20.0,0.0
1963,1964.0,2.0,77.81,77.8,703.0,77.77,61.8,77.77,73.19,58.8,1.0,5.0,1.0,10.0,2.0,3.0,#NULL!,1990.0,6.0,7.0,4.0,3.0,25.0,10.0,12.0,25.0,0.0,0.0
0,1.0,2.0,753.04,87.65,81.56,85.61,85.63,85.81,82.35,84.77,2.0,10.0,2.0,10.0,5.0,6.0,1,1983.0,6.0,14.0,2.0,3.0,19.0,11.0,10.0,30.0,5.0,0.0
298,299.0,2.0,52.02,52.86,59.33,62.97,58.79,60.84,59.95,62.98,2.0,24.0,1.0,5.0,2.0,3.0,#NULL!,1996.0,5.0,3.0,4.0,9.0,30.0,10.0,15.0,30.0,6.0,0.0
594,595.0,2.0,40.36,47.71,51.82,52.75,53.71,57.76,55.54,52.22,2.0,31.0,1.0,3.0,3.0,2.0,#NULL!,1988.0,4.0,11.0,5.0,6.0,12.0,8.0,9.0,15.0,0.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
730,731.0,1.0,44.46,82.74,88.92,81.03,77.76,77.77,88.88,88.87,2.0,10.0,1.0,1.0,3.0,5.0,1,1994.0,6.0,3.0,3.0,4.0,17.0,12.0,11.0,20.0,0.0,0.0
298,299.0,2.0,52.02,52.86,59.33,62.97,58.79,60.84,59.95,62.98,2.0,24.0,1.0,5.0,2.0,3.0,#NULL!,1996.0,5.0,3.0,4.0,9.0,30.0,10.0,15.0,30.0,6.0,0.0
1037,1038.0,2.0,41.7,35.77,37.09,37.48,33.32,39.15,35.62,37.0,2.0,29.0,2.0,2.0,5.0,6.0,1,1991.0,5.0,4.0,1.0,5.0,6.0,9.0,25.0,13.0,0.0,0.0
1081,1082.0,1.0,42.61,45.58,37.09,41.17,38.11,41.69,39.86,40.33,2.0,32.0,1.0,12.0,3.0,5.0,1,1988.0,6.0,12.0,6.0,1.0,37.0,33.0,33.0,25.0,0.0,0.0
1096,1097.0,2.0,52.81,59.84,44.45,59.71,60.4,63.26,57.85,66.31,2.0,5.0,3.0,5.0,3.0,2.0,#NULL!,1992.0,5.0,4.0,4.0,8.0,15.0,6.0,4.0,25.0,25.0,0.0
1125,1126.0,2.0,46.53,84.92,81.56,85.61,85.32,91.63,82.15,85.54,1.0,20.0,2.0,5.0,5.0,5.0,3,1985.0,6.0,10.0,4.0,2.0,18.0,12.0,13.0,30.0,10.0,0.0
1157,1158.0,2.0,53.19,54.66,44.75,70.34,63.8,66.34,82.35,74.51,1.0,9.0,2.0,2.0,5.0,5.0,2,1990.0,6.0,8.0,2.0,2.0,14.0,23.0,12.0,32.0,12.0,0.0
730,731.0,1.0,44.46,82.74,88.92,81.03,77.76,77.77,88.88,88.87,2.0,10.0,1.0,1.0,3.0,5.0,1,1994.0,6.0,3.0,3.0,4.0,17.0,12.0,11.0,20.0,0.0,0.0
1278,1279.0,2.0,53.55,53.55,66.69,66.24,53.54,53.34,51.11,51.44,1.0,8.0,1.0,6.0,5.0,6.0,1,1990.0,3.0,6.0,6.0,5.0,40.0,35.0,30.0,10.0,0.0,0.0
1465,1466.0,2.0,50.59,68.71,70.44,73.61,72.91,72.49,73.34,73.66,1.0,15.0,1.0,10.0,5.0,6.0,1,1990.0,5.0,7.0,4.0,2.0,34.0,20.0,29.0,17.0,6.0,0.0
1510,1511.0,2.0,46.55,53.18,51.96,40.7,42.65,44.44,35.66,41.1,1.0,30.0,2.0,10.0,3.0,5.0,1,1980.0,5.0,16.0,4.0,7.0,10.0,5.0,4.0,20.0,20.0,0.0
1529,1530.0,1.0,47.03,51.92,55.58,51.86,47.51,47.51,48.83,47.76,2.0,40.0,2.0,20.0,3.0,5.0,1,1980.0,6.0,20.0,3.0,2.0,50.0,40.0,40.0,10.0,5.0,0.0
730,731.0,1.0,44.46,82.74,88.92,81.03,77.76,77.77,88.88,88.87,2.0,10.0,1.0,1.0,3.0,5.0,1,1994.0,6.0,3.0,3.0,4.0,17.0,12.0,11.0,20.0,0.0,0.0
1705,1706.0,1.0,37.04,43.4,37.09,40.7,52.53,47.51,57.65,55.55,1.0,13.0,2.0,3.0,3.0,5.0,1,1992.0,6.0,2.0,5.0,4.0,36.0,20.0,30.0,14.0,0.0,0.0
1754,1755.0,2.0,48.8,53.57,40.56,63.81,42.65,60.84,60.14,74.09,1.0,4.0,4.0,6.0,3.0,2.0,#NULL!,1993.0,6.0,4.0,4.0,5.0,8.0,5.0,4.0,25.0,0.0,0.0
1756,1757.0,2.0,51.1,58.29,48.07,63.4,63.27,55.02,68.75,74.09,2.0,20.0,2.0,6.0,3.0,5.0,1,1989.0,5.0,6.0,3.0,4.0,13.0,11.0,10.0,20.0,0.0,0.0
1757,1758.0,2.0,33.16,41.56,40.7,37.48,25.23,39.15,37.89,33.32,1.0,13.0,1.0,2.0,3.0,5.0,1,1992.0,6.0,3.0,4.0,7.0,14.0,19.0,25.0,14.0,5.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
42,43.0,1.0,56.51,48.6,52.11,57.92,53.21,41.57,51.23,56.32,1.0,20.0,1.0,5.0,3.0,5.0,1,1989.0,5.0,8.0,4.0,3.0,26.0,14.0,10.0,10.0,25.0,0.0
103,104.0,2.0,72.41,51.05,66.69,77.77,77.99,75.03,73.34,73.66,2.0,30.0,2.0,2.0,3.0,5.0,1,1990.0,5.0,7.0,4.0,8.0,25.0,15.0,18.0,0.0,13.0,0.0
283,284.0,2.0,67.94,50.54,51.82,52.28,49.45,49.73,55.56,51.44,1.0,14.0,3.0,2.0,3.0,5.0,1,1991.0,5.0,5.0,7.0,9.0,35.0,30.0,30.0,0.0,0.0,0.0
290,291.0,2.0,55.19,46.48,40.7,41.17,36.56,52.48,62.28,59.57,2.0,28.0,2.0,2.0,4.0,4.0,#NULL!,1992.0,6.0,5.0,4.0,8.0,25.0,8.0,16.0,13.0,6.0,0.0
302,303.0,2.0,56.3,47.89,51.82,64.29,53.23,57.76,57.65,51.44,1.0,15.0,2.0,8.0,5.0,6.0,1,1985.0,5.0,12.0,4.0,3.0,15.0,9.0,6.0,0.0,35.0,0.0
594,595.0,2.0,40.36,47.71,51.82,52.75,53.71,57.76,55.54,52.22,2.0,31.0,1.0,3.0,3.0,2.0,#NULL!,1988.0,4.0,11.0,5.0,6.0,12.0,8.0,9.0,15.0,0.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
1037,1038.0,2.0,41.7,35.77,37.09,37.48,33.32,39.15,35.62,37.0,2.0,29.0,2.0,2.0,5.0,6.0,1,1991.0,5.0,4.0,1.0,5.0,6.0,9.0,25.0,13.0,0.0,0.0
1056,1057.0,2.0,59.26,44.97,55.58,52.28,69.67,72.81,55.56,54.34,2.0,31.0,2.0,10.0,3.0,2.0,#NULL!,1988.0,6.0,9.0,6.0,4.0,20.0,8.0,9.0,0.0,25.0,0.0
1081,1082.0,1.0,42.61,45.58,37.09,41.17,38.11,41.69,39.86,40.33,2.0,32.0,1.0,12.0,3.0,5.0,1,1988.0,6.0,12.0,6.0,1.0,37.0,33.0,33.0,25.0,0.0,0.0
1227,1228.0,2.0,56.16,50.9,44.45,58.81,61.64,55.88,57.84,59.65,2.0,11.0,2.0,5.0,5.0,6.0,1,1981.0,6.0,15.0,4.0,3.0,11.0,11.0,14.0,20.0,0.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
1347,1348.0,2.0,64.31,51.31,55.58,62.5,63.58,66.66,73.38,59.23,1.0,12.0,1.0,1.0,2.0,3.0,#NULL!,1993.0,5.0,3.0,7.0,9.0,39.0,18.0,20.0,0.0,0.0,0.0
1414,1415.0,2.0,60.24,51.1,62.79,52.28,59.96,52.48,53.08,56.32,2.0,23.0,1.0,3.0,3.0,2.0,#NULL!,1997.0,5.0,2.0,4.0,8.0,24.0,15.0,10.0,0.0,0.0,0.0
1687,1688.0,3.0,56.5,51.16,48.07,44.43,50.53,55.56,57.65,70.41,1.0,13.0,1.0,6.0,1.0,1.0,#NULL!,1992.0,5.0,6.0,3.0,4.0,20.0,10.0,12.0,28.0,0.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
1705,1706.0,1.0,37.04,43.4,37.09,40.7,52.53,47.51,57.65,55.55,1.0,13.0,2.0,3.0,3.0,5.0,1,1992.0,6.0,2.0,5.0,4.0,36.0,20.0,30.0,14.0,0.0,0.0
1757,1758.0,2.0,33.16,41.56,40.7,37.48,25.23,39.15,37.89,33.32,1.0,13.0,1.0,2.0,3.0,5.0,1,1992.0,6.0,3.0,4.0,7.0,14.0,19.0,25.0,14.0,5.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
262,263.0,2.0,73.71,59.06,29.59,67.08,53.54,50.26,66.67,44.43,1.0,3.0,2.0,6.0,2.0,3.0,#NULL!,1992.0,6.0,5.0,4.0,8.0,30.0,8.0,20.0,30.0,10.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
558,559.0,1.0,66.32,72.85,44.32,63.4,46.21,61.38,70.9,59.23,2.0,25.0,1.0,6.0,4.0,2.0,#NULL!,1995.0,5.0,3.0,2.0,5.0,35.0,24.0,25.0,30.0,0.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
978,979.0,2.0,59.0,66.23,40.56,82.77,72.06,68.88,68.83,56.24,2.0,34.0,1.0,1.0,6.0,6.0,3,1986.0,5.0,14.0,4.0,1.0,24.0,19.0,19.0,30.0,0.0,0.0
1037,1038.0,2.0,41.7,35.77,37.09,37.48,33.32,39.15,35.62,37.0,2.0,29.0,2.0,2.0,5.0,6.0,1,1991.0,5.0,4.0,1.0,5.0,6.0,9.0,25.0,13.0,0.0,0.0
1037,1038.0,2.0,41.7,35.77,37.09,37.48,33.32,39.15,35.62,37.0,2.0,29.0,2.0,2.0,5.0,6.0,1,1991.0,5.0,4.0,1.0,5.0,6.0,9.0,25.0,13.0,0.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
1037,1038.0,2.0,41.7,35.77,37.09,37.48,33.32,39.15,35.62,37.0,2.0,29.0,2.0,2.0,5.0,6.0,1,1991.0,5.0,4.0,1.0,5.0,6.0,9.0,25.0,13.0,0.0,0.0
978,979.0,2.0,59.0,66.23,40.56,82.77,72.06,68.88,68.83,56.24,2.0,34.0,1.0,1.0,6.0,6.0,3,1986.0,5.0,14.0,4.0,1.0,24.0,19.0,19.0,30.0,0.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
1963,1964.0,2.0,77.81,77.8,703.0,77.77,61.8,77.77,73.19,58.8,1.0,5.0,1.0,10.0,2.0,3.0,#NULL!,1990.0,6.0,7.0,4.0,3.0,25.0,10.0,12.0,25.0,0.0,0.0
290,291.0,2.0,55.19,46.48,40.7,41.17,36.56,52.48,62.28,59.57,2.0,28.0,2.0,2.0,4.0,4.0,#NULL!,1992.0,6.0,5.0,4.0,8.0,25.0,8.0,16.0,13.0,6.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
1037,1038.0,2.0,41.7,35.77,37.09,37.48,33.32,39.15,35.62,37.0,2.0,29.0,2.0,2.0,5.0,6.0,1,1991.0,5.0,4.0,1.0,5.0,6.0,9.0,25.0,13.0,0.0,0.0
290,291.0,2.0,55.19,46.48,40.7,41.17,36.56,52.48,62.28,59.57,2.0,28.0,2.0,2.0,4.0,4.0,#NULL!,1992.0,6.0,5.0,4.0,8.0,25.0,8.0,16.0,13.0,6.0,0.0
1167,1168.0,2.0,63.14,59.92,51.82,40.75,51.0,55.02,73.19,55.47,2.0,19.0,2.0,6.0,5.0,6.0,1,1974.0,5.0,22.0,2.0,3.0,30.0,12.0,18.0,0.0,0.0,0.0
1253,1254.0,2.0,44.46,44.45,44.45,44.43,44.43,44.44,44.44,44.43,2.0,5.0,1.0,1.0,3.0,5.0,1,1984.0,5.0,10.0,4.0,8.0,17.0,11.0,9.0,0.0,20.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
1510,1511.0,2.0,46.55,53.18,51.96,40.7,42.65,44.44,35.66,41.1,1.0,30.0,2.0,10.0,3.0,5.0,1,1980.0,5.0,16.0,4.0,7.0,10.0,5.0,4.0,20.0,20.0,0.0
1529,1530.0,1.0,47.03,51.92,55.58,51.86,47.51,47.51,48.83,47.76,2.0,40.0,2.0,20.0,3.0,5.0,1,1980.0,6.0,20.0,3.0,2.0,50.0,40.0,40.0,10.0,5.0,0.0
1253,1254.0,2.0,44.46,44.45,44.45,44.43,44.43,44.44,44.44,44.43,2.0,5.0,1.0,1.0,3.0,5.0,1,1984.0,5.0,10.0,4.0,8.0,17.0,11.0,9.0,0.0,20.0,0.0
1253,1254.0,2.0,44.46,44.45,44.45,44.43,44.43,44.44,44.44,44.43,2.0,5.0,1.0,1.0,3.0,5.0,1,1984.0,5.0,10.0,4.0,8.0,17.0,11.0,9.0,0.0,20.0,0.0
1510,1511.0,2.0,46.55,53.18,51.96,40.7,42.65,44.44,35.66,41.1,1.0,30.0,2.0,10.0,3.0,5.0,1,1980.0,5.0,16.0,4.0,7.0,10.0,5.0,4.0,20.0,20.0,0.0
1037,1038.0,2.0,41.7,35.77,37.09,37.48,33.32,39.15,35.62,37.0,2.0,29.0,2.0,2.0,5.0,6.0,1,1991.0,5.0,4.0,1.0,5.0,6.0,9.0,25.0,13.0,0.0,0.0
1819,1820.0,1.0,56.54,59.39,59.33,51.81,57.21,56.09,51.16,50.67,2.0,20.0,1.0,2.0,3.0,7.0,#NULL!,1988.0,6.0,9.0,6.0,2.0,45.0,18.0,6.0,30.0,25.0,0.0
48,49.0,1.0,62.94,76.54,62.94,79.08,47.98,74.7,77.77,77.76,1.0,6.0,1.0,11.0,4.0,6.0,1,1987.0,6.0,11.0,2.0,2.0,20.0,12.0,7.0,0.0,0.0,0.0
51,52.0,1.0,68.54,75.37,62.94,71.71,49.29,55.56,70.91,55.12,2.0,11.0,1.0,4.0,3.0,5.0,1,1985.0,6.0,11.0,4.0,7.0,25.0,10.0,10.0,20.0,28.0,0.0
149,150.0,2.0,89.97,63.63,55.43,59.71,48.92,58.3,88.74,69.56,2.0,35.0,1.0,10.0,5.0,6.0,1,1985.0,6.0,12.0,4.0,1.0,32.0,24.0,24.0,11.0,9.0,0.0
290,291.0,2.0,55.19,46.48,40.7,41.17,36.56,52.48,62.28,59.57,2.0,28.0,2.0,2.0,4.0,4.0,#NULL!,1992.0,6.0,5.0,4.0,8.0,25.0,8.0,16.0,13.0,6.0,0.0
326,327.0,2.0,61.72,71.92,51.82,62.97,49.23,55.88,68.82,77.42,1.0,4.0,3.0,6.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,4.0,7.0,40.0,25.0,15.0,40.0,0.0,0.0
479,480.0,2.0,78.35,71.61,74.05,81.03,605.63,63.92,75.49,73.66,1.0,5.0,4.0,8.0,3.0,1.0,1,1988.0,5.0,10.0,6.0,4.0,45.0,30.0,26.0,40.0,60.0,0.0
558,559.0,1.0,66.32,72.85,44.32,63.4,46.21,61.38,70.9,59.23,2.0,25.0,1.0,6.0,4.0,2.0,#NULL!,1995.0,5.0,3.0,2.0,5.0,35.0,24.0,25.0,30.0,0.0,0.0
604,605.0,2.0,42.72,44.45,33.34,47.7,36.4,39.15,44.44,44.43,2.0,11.0,1.0,3.0,3.0,2.0,#NULL!,1995.0,5.0,4.0,3.0,8.0,30.0,15.0,20.0,20.0,15.0,0.0
666,667.0,1.0,54.47,53.51,44.45,55.55,47.45,52.48,57.64,55.55,2.0,28.0,2.0,5.0,3.0,5.0,1,1991.0,6.0,6.0,5.0,5.0,30.0,11.0,10.0,20.0,28.0,0.0
